iter	Passed	Remaining
0	7	3673
1	20	5175
2	25	4300
3	35	4451
4	45	4513
5	50	4137
6	59	4187
7	65	4039
8	68	3761
9	77	3818
10	87	3889
11	92	3746
12	95	3569
13	104	3622
14	110	3565
15	119	3610
16	125	3560
17	129	3474
18	135	3434
19	144	3469
20	153	3501
21	159	3461
22	168	3488
23	177	3513
24	186	3541
25	197	3594
26	207	3627
27	216	3656
28	226	3683
29	236	3697
30	243	3687
31	252	3699
32	262	3708
33	269	3697
34	277	3681
35	280	3613
36	289	3621
37	298	3631
38	307	3638
39	316	3640
40	323	3624
41	326	3565
42	334	3553
43	343	3557
44	347	3515
45	356	3521
46	361	3483
47	368	3470
48	373	3433
49	381	3434
50	402	3543
51	412	3553
52	421	3557
53	427	3531
54	430	3484
55	433	3438
56	441	3427
57	449	3429
58	458	3429
59	464	3408
60	473	3410
61	483	3413
62	492	3417
63	501	3419
64	511	3421
65	520	3423
66	523	3385
67	528	3355
68	537	3356
69	543	3337
70	552	3337
71	561	3339
72	571	3342
73	577	3325
74	582	3299
75	593	3309
76	603	3316
77	613	3319
78	618	3295
79	627	3295
80	631	3265
81	640	3265
82	648	3255
83	657	3257
84	664	3243
85	674	3245
86	677	3216
87	682	3193
88	691	3193
89	700	3193
90	711	3196
91	720	3197
92	732	3204
93	742	3206
94	752	3209
95	762	3209
96	773	3211
97	783	3215
98	794	3219
99	805	3220
100	814	3218
101	824	3216
102	827	3190
103	836	3185
104	846	3182
105	852	3168
106	861	3165
107	871	3162
108	881	3162
109	892	3164
110	896	3140
111	907	3143
112	930	3186
113	941	3186
114	952	3187
115	958	3174
116	970	3176
117	979	3169
118	990	3169
119	996	3154
120	1007	3157
121	1011	3133
122	1022	3132
123	1032	3131
124	1042	3127
125	1052	3124
126	1062	3120
127	1068	3106
128	1078	3101
129	1080	3074
130	1089	3069
131	1099	3065
132	1102	3043
133	1112	3037
134	1115	3016
135	1125	3011
136	1135	3007
137	1152	3024
138	1162	3020
139	1168	3004
140	1179	3002
141	1189	2997
142	1213	3029
143	1223	3023
144	1233	3019
145	1237	3001
146	1239	2976
147	1241	2952
148	1250	2946
149	1252	2922
150	1262	2917
151	1271	2910
152	1280	2904
153	1287	2891
154	1291	2874
155	1299	2864
156	1308	2858
157	1317	2852
158	1327	2846
159	1330	2827
160	1335	2810
161	1344	2804
162	1354	2800
163	1359	2786
164	1369	2779
165	1375	2768
166	1385	2761
167	1394	2755
168	1400	2742
169	1409	2736
170	1418	2729
171	1428	2724
172	1437	2717
173	1446	2710
174	1455	2703
175	1463	2694
176	1473	2688
177	1477	2673
178	1486	2666
179	1497	2661
180	1505	2653
181	1514	2647
182	1522	2637
183	1527	2623
184	1533	2611
185	1540	2600
186	1551	2597
187	1555	2581
188	1566	2577
189	1576	2571
190	1579	2555
191	1581	2537
192	1592	2532
193	1599	2522
194	1604	2509
195	1614	2503
196	1623	2497
197	1633	2491
198	1635	2473
199	1645	2467
200	1654	2461
201	1656	2444
202	1666	2437
203	1675	2431
204	1680	2418
205	1682	2400
206	1700	2407
207	1711	2402
208	1721	2397
209	1725	2382
210	1734	2375
211	1743	2368
212	1754	2364
213	1764	2357
214	1768	2343
215	1778	2338
216	1789	2333
217	1796	2324
218	1821	2336
219	1830	2329
220	1841	2324
221	1851	2318
222	1861	2312
223	1867	2300
224	1877	2294
225	1900	2303
226	1910	2297
227	1921	2292
228	1931	2285
229	1962	2304
230	1974	2299
231	1984	2291
232	1993	2284
233	2002	2276
234	2007	2264
235	2015	2254
236	2024	2246
237	2033	2238
238	2043	2231
239	2052	2223
240	2061	2215
241	2071	2208
242	2079	2199
243	2089	2192
244	2099	2184
245	2104	2172
246	2112	2164
247	2122	2156
248	2131	2148
249	2137	2137
250	2147	2129
251	2156	2122
252	2161	2110
253	2171	2103
254	2182	2096
255	2190	2088
256	2200	2080
257	2210	2073
258	2219	2065
259	2228	2057
260	2238	2049
261	2247	2041
262	2256	2033
263	2265	2025
264	2274	2017
265	2284	2009
266	2293	2001
267	2302	1993
268	2312	1985
269	2321	1977
270	2331	1969
271	2340	1961
272	2351	1954
273	2360	1947
274	2370	1939
275	2385	1935
276	2394	1927
277	2399	1916
278	2404	1904
279	2413	1896
280	2422	1888
281	2432	1880
282	2441	1872
283	2451	1864
284	2460	1856
285	2470	1848
286	2480	1840
287	2489	1832
288	2499	1825
289	2509	1817
290	2519	1809
291	2529	1801
292	2539	1793
293	2549	1786
294	2560	1778
295	2569	1771
296	2579	1763
297	2584	1752
298	2594	1744
299	2604	1736
300	2614	1728
301	2624	1720
302	2634	1712
303	2643	1704
304	2653	1696
305	2661	1687
306	2680	1684
307	2690	1676
308	2700	1669
309	2710	1661
310	2718	1652
311	2724	1641
312	2734	1633
313	2745	1626
314	2755	1618
315	2765	1610
316	2775	1602
317	2784	1593
318	2794	1585
319	2804	1577
320	2814	1569
321	2824	1561
322	2833	1552
323	2843	1544
324	2853	1536
325	2863	1528
326	2873	1520
327	2882	1511
328	2892	1503
329	2901	1494
330	2911	1486
331	2921	1478
332	2932	1470
333	2942	1462
334	2951	1453
335	2961	1445
336	2971	1437
337	2981	1429
338	2991	1420
339	3001	1412
340	3011	1404
341	3021	1395
342	3031	1387
343	3041	1379
344	3050	1370
345	3060	1362
346	3069	1353
347	3079	1345
348	3090	1337
349	3100	1328
350	3110	1320
351	3122	1312
352	3132	1304
353	3142	1295
354	3152	1287
355	3161	1278
356	3171	1270
357	3182	1262
358	3192	1253
359	3202	1245
360	3212	1236
361	3222	1228
362	3233	1220
363	3243	1211
364	3254	1203
365	3264	1195
366	3275	1186
367	3290	1180
368	3303	1172
369	3342	1174
370	3353	1166
371	3363	1157
372	3374	1148
373	3384	1140
374	3394	1131
375	3404	1122
376	3414	1113
377	3424	1105
378	3433	1096
379	3443	1087
380	3454	1078
381	3464	1070
382	3474	1061
383	3484	1052
384	3493	1043
385	3504	1034
386	3514	1026
387	3523	1017
388	3534	1008
389	3544	999
390	3555	991
391	3565	982
392	3574	973
393	3584	964
394	3594	955
395	3604	946
396	3614	937
397	3624	928
398	3636	920
399	3647	911
400	3658	903
401	3669	894
402	3682	886
403	3695	878
404	3706	869
405	3717	860
406	3729	852
407	3740	843
408	3752	834
409	3764	826
410	3775	817
411	3786	808
412	3797	799
413	3807	790
414	3817	781
415	3827	772
416	3837	763
417	3847	754
418	3856	745
419	3866	736
420	3875	727
421	3885	718
422	3894	708
423	3903	699
424	3917	691
425	3927	682
426	3937	673
427	3948	664
428	3959	655
429	3969	646
430	3979	637
431	3989	628
432	4011	620
433	4020	611
434	4030	602
435	4041	593
436	4050	583
437	4061	574
438	4071	565
439	4081	556
440	4091	547
441	4101	538
442	4111	528
443	4121	519
444	4132	510
445	4143	501
446	4153	492
447	4162	483
448	4173	474
449	4182	464
450	4193	455
451	4203	446
452	4213	437
453	4222	427
454	4232	418
455	4242	409
456	4252	400
457	4262	390
458	4272	381
459	4294	373
460	4304	364
461	4314	354
462	4324	345
463	4334	336
464	4344	326
465	4353	317
466	4363	308
467	4372	298
468	4381	289
469	4391	280
470	4400	270
471	4410	261
472	4420	252
473	4429	242
474	4439	233
475	4448	224
476	4458	214
477	4469	205
478	4479	196
479	4489	187
480	4498	177
481	4508	168
482	4518	159
483	4529	149
484	4541	140
485	4552	131
486	4563	121
487	4574	112
488	4585	103
489	4595	93
490	4606	84
491	4617	75
492	4627	65
493	4654	56
494	4665	47
495	4679	37
496	4691	28
497	4701	18
498	4713	9
499	4723	0
